rh,cathode_solid_potential_v,converged,coupling_iterations,final_current_a,final_current_density_a_m2,final_phi_m_bc_v,final_target_phi_m_bc_v,final_membrane_asr_ohm_m2,final_lambda_anode,final_lambda_mean,final_lambda_cathode,final_sigma_m_mean_s_m,final_sigma_m_min_s_m,final_sigma_m_max_s_m
0.3,0.7,True,6,0.0034333270496887665,1716.6635248443833,-0.07361194349284306,-0.07364812626434362,4.290189964339102e-05,2.479827290614068,2.6229824854411414,2.771499999999999,1.1675543670429072,1.0835052999233044,1.2547517514247515
0.3,0.768,True,4,0.0019282774077736726,964.1387038868363,-0.04005060806164447,-0.04002868392387186,4.151755734159402e-05,2.6037038276563416,2.6867355016240797,2.771499999999999,1.2049849439961897,1.1562355098817134,1.2547517514247515
0.3,0.83,True,6,0.0009444536996314011,472.2268498157006,-0.019112942140288205,-0.01919694145329268,4.065194823374573e-05,2.6880053145862344,2.7295414864457728,2.771499999999999,1.2301171307515864,1.2057304747120987,1.2547517514247515
0.5,0.7,True,5,0.004025331200076367,2012.6656000381836,-0.06526813000539713,-0.06522774966791645,3.240863741432207e-05,3.0594577661202336,3.2678876166083803,3.4854999999999983,1.5461901177100623,1.4238170909081451,1.6739543797044156
0.5,0.768,True,5,0.002172164577794285,1086.0822888971425,-0.03385202724997784,-0.03388450232143963,3.119883517836158e-05,3.248712276625675,3.3657288739352023,3.4854999999999983,1.6036345325918417,1.5349319203446474,1.6739543797044156
0.5,0.83,True,6,0.001015618734232832,507.80936711641596,-0.01536792101524502,-0.015477837524481336,3.0479621934451284e-05,3.3727124379399136,3.4287994684474414,3.4854999999999983,1.6406644471390293,1.6077347124035148,1.6739543797044156
0.9,0.7,True,4,0.007021552683202771,3510.7763416013854,-0.036029644422687246,-0.036013146093743564,1.0257886743453653e-05,7.995761788371846,8.978272503894788,10.037500000000001,4.898862881350033,4.322012637288197,5.520754968623695
0.9,0.768,True,6,0.0031298659470782907,1564.9329735391455,-0.014862381138206114,-0.014970397213877478,9.566158721815064e-06,9.069860725042735,9.545571385280356,10.037500000000001,5.231934564959198,4.9526360228411805,5.520754968623695
0.9,0.83,True,5,0.0012314975697979868,615.7487848989934,-0.00544737460087155,-0.005697205183196011,9.252483030284132e-06,9.645021871207772,9.839966624328639,10.037500000000001,5.404779464065727,5.29032378776657,5.520754968623695
