label,rh,cathode_solid_potential_v,nx,ny,nz,converged,coupling_iterations,final_current_a,final_current_density_a_m2,final_phi_m_bc_v,final_target_phi_m_bc_v,final_membrane_asr_ohm_m2,final_lambda_anode,final_lambda_mean,final_lambda_cathode,final_sigma_m_mean_s_m,final_sigma_m_min_s_m,final_sigma_m_max_s_m,source,current_change_from_previous,phi_m_change_from_previous,asr_change_from_previous,lambda_mean_change_from_previous
nominal,0.5,0.768,8,8,24,True,3,0.002387331192410877,1193.6655962054385,-0.03747414234282097,-0.03740423348477682,3.133560488270894e-05,3.2261510625938605,3.3541806978862763,3.4854999999999983,1.5968543844804326,1.521685813594904,1.6739543797044156,.quick-v05-grid/nominal_8x8x24.json,,,,
nominal,0.5,0.768,12,12,36,True,3,0.002332007841992825,1166.0039209964125,-0.03638430484634482,-0.03649633017414868,3.130034943875714e-05,3.231936964248166,3.3571476032276877,3.4854999999999983,1.5985963095742377,1.52508282365156,1.6739543797044156,.quick-v05-grid/nominal_12x12x36.json,0.023723483867350712,0.029953506081225396,0.001126359436362906,0.0008837577884746339
