rh,rh_percent,cathode_solid_potential_v,total_reaction_current_a,current_density_a_per_m2,current_density_a_per_cm2,sigma_m_max_s_per_m,lambda_cl_max,mean_c_o2_mol_per_m3,mean_eta_v,phi_m_min_v,dI_dRH_a_per_fraction,dI_dRH_ma_per_percent,dlnI_dlnsigma
0.1,10.0,0.62,0.020619058365522542,10309.529182761271,1.030952918276127,0.48562351695814077,1.4614908919647982,7.262713695700604,-0.5550783907813508,-0.08939637581127562,0.04127649033681581,0.4127649033681581,0.35473999773914455
0.3,30.0,0.62,0.028874356432885703,14437.178216442851,1.4437178216442852,1.2547439941597707,2.771482728074196,7.166910446821987,-0.5574636436506782,-0.05891508526739608,0.027374688045666933,0.27374688045666934,0.34420710087279094
0.5,50.0,0.62,0.031568933583789316,15784.466791894658,1.5784466791894658,1.6739440099780627,3.485478278442218,7.135478747015125,-0.558152799996319,-0.05047150008120425,0.018208548724134074,0.18208548724134074,0.2856406425772473
0.7,70.0,0.62,0.03615777592253933,18078.887961269666,1.8078887961269665,2.757758056477458,5.331466774211645,7.081827158687322,-0.5592475554268407,-0.037413550013117684,0.025631141982815214,0.25631141982815214,0.23567277254104624
0.9,90.0,0.62,0.0418213903769154,20910.695188457703,2.0910695188457704,5.520720625722401,10.037437446525256,7.01546115496448,-0.5605069927098515,-0.023254772921500914,0.028318072271880334,0.28318072271880335,0.20964981484603934
0.1,10.0,0.7,0.008476416600132963,4238.208300066482,0.42382083000664816,0.4856235169581407,1.4614908919647982,7.406148564260699,-0.4776342257963335,-0.04309219925316221,0.010428609007961996,0.10428609007961996,0.23174846713528627
0.3,30.0,0.7,0.010562138401725362,5281.069200862681,0.5281069200862681,1.2547439941597707,2.771482728074196,7.38224444721137,-0.47891971216251034,-0.024317173089350604,0.006595342506907089,0.06595342506907088,0.21896298137365958
0.5,50.0,0.7,0.011114553602895798,5557.2768014479,0.55572768014479,1.6739440099780627,3.485478278442218,7.375837636282842,-0.47923881525303647,-0.01975944307250853,0.0034053587725162066,0.034053587725162066,0.1540357348454046
0.7,70.0,0.7,0.011924281910731844,5962.140955365922,0.5962140955365922,2.757758056477458,5.331466774211645,7.366403923247428,-0.47969227223832694,-0.013392997087248225,0.004024413557838437,0.04024413557838437,0.11334679338632828
0.9,90.0,0.7,0.012724319026031173,6362.1595130155865,0.6362159513015586,5.520720625722401,10.037437446525256,7.357047708630766,-0.4801322163894912,-0.007449859899882528,0.004000185576496644,0.04000185576496644,0.09355875448417057
0.1,10.0,0.768,0.003365217169491595,1682.6085847457975,0.16826085847457975,0.4856235169581407,1.4614908919647982,7.466630145198713,-0.41100350504080824,-0.018314980025912066,0.0019795193072611166,0.019795193072611166,0.11717059651885248
0.3,30.0,0.768,0.0037611210309438183,1880.5605154719092,0.1880560515471909,1.2547439941597707,2.771482728074196,7.462160053790339,-0.4115929578286693,-0.00910622938662416,0.001204339417529551,0.012043394175295511,0.10811187388249284
0.5,50.0,0.768,0.0038469529365034155,1923.4764682517077,0.19234764682517078,1.6739440099780627,3.485478278442218,7.461169780697209,-0.41172147112176627,-0.007135139830912931,0.0004959649472915386,0.004959649472915386,0.06527409210788492
0.7,70.0,0.768,0.003959507009860434,1979.7535049302169,0.1979753504930217,2.757758056477458,5.331466774211645,7.459861957057091,-0.4118907400593781,-0.004582185754034609,0.0005238318130752003,0.005238318130752003,0.04444352496616352
0.9,90.0,0.768,0.0040564856617334956,2028.242830866748,0.2028242830866748,5.520720625722401,10.037437446525256,7.458729080511963,-0.41203992650761223,-0.002414885546842314,0.0004848932593653087,0.004848932593653087,0.034862137468053236
0.1,10.0,0.83,0.0012613851997133518,630.692599856676,0.0630692599856676,0.4856235169581407,1.4614908919647982,7.491469984866319,-0.3496193858943801,-0.007037972795031309,0.00029980044570114724,0.0029980044570114724,0.04892255839418263
0.3,30.0,0.83,0.0013213452888535813,660.6726444267906,0.06606726444267906,1.2547439941597707,2.771482728074196,7.490800170245135,-0.34985412568520735,-0.0032604275494242975,0.00017874034071266613,0.0017874034071266613,0.04455139453637354
0.5,50.0,0.83,0.0013328813359984183,666.4406679992092,0.06664406679992091,1.6739440099780627,3.485478278442218,7.4906674653531,-0.3499016348146832,-0.002510744127498382,6.468123511633572e-05,0.0006468123511633572,0.024624153904849035
0.7,70.0,0.83,0.0013472177829001156,673.6088914500579,0.06736088914500579,2.757758056477458,5.331466774211645,7.4905011029825,-0.3499620092766644,-0.0015752103459255149,6.496745478102954e-05,0.0006496745478102954,0.01618100938240704
0.9,90.0,0.83,0.00135886831791083,679.4341589554151,0.06794341589554151,5.520720625722401,10.037437446525256,7.4903650670895265,-0.3500131369876606,-0.0008133108637516288,5.8252675053572656e-05,0.0005825267505357265,0.012405690214820105
