rh_percent,cathode_solid_potential_v,current_density_a_per_cm2
10.0,0.62,1.030952918276127
30.0,0.62,1.4437178216442852
50.0,0.62,1.5784466791894658
70.0,0.62,1.8078887961269665
90.0,0.62,2.0910695188457704
10.0,0.7,0.42382083000664816
30.0,0.7,0.5281069200862681
50.0,0.7,0.55572768014479
70.0,0.7,0.5962140955365922
90.0,0.7,0.6362159513015586
10.0,0.768,0.16826085847457975
30.0,0.768,0.1880560515471909
50.0,0.768,0.19234764682517078
70.0,0.768,0.1979753504930217
90.0,0.768,0.2028242830866748
10.0,0.83,0.0630692599856676
30.0,0.83,0.06606726444267906
50.0,0.83,0.06664406679992091
70.0,0.83,0.06736088914500579
90.0,0.83,0.06794341589554151
